Month,Day,Artist,Album_Name,Record_Label,Year
January,1,"Bun B and Le$
","Distant
","DIOS, II Trill Enterprise",2021
January,1,"DJ Daddykat and Wiz Khalifa
","#Fucc2020
",Taylor Gang Entertainmen,2021
January,1,"Uncle Murda
","Don't Come Outside Vol. 3
","ATM WorldWide Inc, EMPIR",2021
January,2,"Agallah Don Bishop
","2021
",Propain Campai,2021
January,8,"Griselda and Black Soprano Family
","Conflicted (Original Motion Picture Soundtrack)
",Griselda Record,2021
January,8,"Smoke DZA, Nym Lo, Jayy Grams, 183rd, and OT the Real
","R.F.C (Money Is the Motive), Pt. 1
",RFC Music Grou,2021
January,14,"2nd Generation Wu (iNTeLL, Pxwer, Sun God, and Young Dirty Bastard)
","Hereditary
",Dock Street Record,2021
January,15,"Marco Polo
","MP on the MP: The Beat Tape, Vol. 1
",Spaghetti Bende,2021
January,15,"Nyck Caution
","Anywhere But Here
",Pro Er,2021
January,18,"CJ Fly
","The Way I H(ear) It, Vol. 1
",Self-release,2021
January,21,"Upchurch
","Hideas: The Album
",Stonebaby Sound,2021
January,22,"BRS Kash
","Kash Only
","LVRN, Interscope, A Team Litt",2021
January,22,"Erick the Architect
","Future Proof
",Self-release,2021
January,22,"Lil Skies
","Unbothered
","All We Got, Atlanti",2021
January,22,"Doctor Destruction
","Planetory Destruction
",Self-release,2021
January,22,"Peewee Longway and Cassius Jay
","Longway Sinatra 2
",MPA BandCam,2021
January,22,"Th1rt3en (Pharoahe Monch, Marcus Machado, and Daru Jones)
","A Magnificent Day for an Exorcism
",Fat Beat,2021
January,22,"Young Dolph
","Rich $lave (Deluxe)
",Paper Route Empir,2021
January,28,"Rich the Kid
","Lucky 7
","Rich Forever Music, EMPIR",2021
January,28,"The Alchemist (in collaboration with Born x Raised)
","Carry the Fire
","Born x Raised, ALC Record",2021
January,29,"Chip
","Snakes & Ladders
",Cash Mott,2021
January,29,"Fredo
","Money Can't Buy Happiness
",Since 9,2021
January,29,"Lil Durk
","The Voice (Deluxe)
","Only the Family, Alamo, Geffe",2021
January,29,"Madlib
","Sound Ancestors
",Madlib Invazio,2021
January,29,"Tha God Fahim and Your Old Droog
","Tha Wolf on Wall St.
","Mongoloid Banks, TGF Musi",2021
January,31,"Papoose
","January
","Honorable Records, Worldstar Distr",2021
February,5,"Big Ghost LTD and Conway the Machine
","If It Bleeds It Can Be Killed
","Griselda, Big Ghost LTD Musi",2021
February,5,"Devin the Dude
","Soulful Distance
","Coughee Brothaz Enterprises, EMPIR",2021
February,5,"Pooh Shiesty
","Shiesty Season
",Atlantic Record,2021
February,5,"Slaine
","The Things We Can't Forgive
",AR Classic Publishin,2021
February,12,"Babyface Ray
","Unfuckwitable
","Wavy Gang, EMPIR",2021
February,12,"JPEGMAFIA
","EP2!
",Republi,2021
February,12,"slowthai
","Tyron
",Method Record,2021
February,12,"Smokepurpp
","Psycho (Legally Insane)
",Alam,2021
February,12,"Various artists
","Judas and the Black Messiah: The Inspired Album
",RC,2021
February,15,"Nova Rockafeller
","Scared of Heights
",Broadwalk Record,2021
February,17,"Insane Clown Posse
","Yum Yum's Lure
",Psychopathic Record,2021
February,18,"Cassidy
","Da Wiseman
",Mayhem Musi,2021
February,19,"Bodega Bamz
","El Camino
",100 Keep I,2021
February,19,"CJ
","Loyalty Over Royalty
",Warner Record,2021
February,19,"Ghetts
","Conflict of Interest
",Warner Record,2021
February,19,"Jim Jones and Harry Fraud
","The Fraud Department
",EMPIR,2021
February,19,"Kevin Gates
","Only the Generals, Pt II.
","Bread Winners Association, Atlantic Record",2021
February,19,"Nef the Pharaoh
","SINsational
",KILFM,2021
February,19,"Trippie Redd
","Neon Shark vs Pegasus
","1400 Entertainment, TwentyThousand Project",2021
February,19,"Yelawolf and Caskey
","Yelawolf Blacksheep
",Slumerica,2021
February,19,"Young Buck
","Vaccine
",Cashville Record,2021
February,19,"Z-Ro and Mike D
","2 the Hardway
","One Deep Entertainment, Straight Profit 2",2021
February,19,"Your Old Droog and Tha God Fahim
","Tha YOD Fahim
",Mongoloid Bank,2021
February,26,"Bitter Belief
","The Elephant Gifts
","Warner Music Group, The Ayem",2021
February,26,"Bryson Tiller
","Anniversary (Deluxe)
",RCA Record,2021
February,26,"Casey Veggies
","CG5
",Commission Record,2021
February,26,"Curren$y
","Collection Agency
",Jet Life Recording,2021
February,26,"Digga D
","Made in the Pyrex
",CGM Record,2021
February,26,"Payroll Giovanni and Cardo
","Another Day Another Dollar
",BYLUG Entertainmen,2021
February,26,"Shordie Shordie and Murda Beatz
","Memory Lane
",Warne,2021
February,26,"Trae tha Truth and Mysonne
","If You're Scared Stay Inside
",Worldstar Distributio,2021
February,26,"Young Buck
","Back on My Buck Shit, Vol. 3
","Cashville Records, Drum Squa",2021
February,28,"Papoose
","February
",Honorable Record,2021
March,5,"Agallah Don Bishop
","Francisco Blanco
",Propain Campai,2021
March,5,"Denzel Curry and Kenny Beats
","Unlocked 1.5
","PH, Loma Vist",2021
March,5,"Drake
","Scary Hours 2
","OVO Sound, Republic Record",2021
March,5,"Genesis Owusu
","Smiling with No Teeth
",Ournes,2021
March,5,"Jme, Frisco, Shorty, and Capo Lee
","Norf Face
",Norf Fac,2021
March,5,"Only the Family
","Loyal Bros
","Only the Family, EMPIR",2021
March,5,"Tek
","Pricele$$
",D4D Record,2021
March,5,"Termanology and Shortfyuz
","Goya 3
",Brick Record,2021
March,5,"Tory Lanez
","Playboy
",One Umbrella Record,2021
March,5,"YBN Almighty Jay
","Battling My Spirit
",Atlanti,2021
March,9,"Upchurch
","Mud to Gold
",Redneck Nation Record,2021
March,12,"Central Cee
","Wild West
",Central Ce,2021
March,12,"Clever
","Crazy
","Grade A, Interscope, Posty Co., Republi",2021
March,19,"Benny the Butcher and Harry Fraud
","The Plugs I Met 2
",Black Soprano Famil,2021
March,19,"DDG and OG Parker
","Die 4 Respect
","DDG Music, Epi",2021
March,19,"Fiend
","T.G.I.F. (Thank God It's Fiend)
",Jet Life Recording,2021
March,19,"Guapdad 4000 and Illmind
","1176
",Paradise Risin,2021
March,19,"¡Mayday!
","Minute to Midnight
","Strange Music, INgroove",2021
March,19,"Micill Imperial
","Trapped Up
",Micill Imperia,2021
March,19,"Kota the Friend and Statik Selektah
","To Kill a Sunrise
",FLTBY,2021
March,19,"OFB
","Drill Commandments
",Rattrap Entertainmen,2021
March,19,"Trap Manny
","In Trap We Trust
","Highbridge, Atlanti",2021
March,26,"24kGoldn
","El Dorado
",Columbi,2021
March,26,"Armand Hammer and The Alchemist
","Haram
","ALC Records, Backwoodz Studio",2021
March,26,"NF
","Clouds (The Mixtape)
","NF Real Music, Carolin",2021
March,26,"Ocean Wisdom
","Stay Sane
",Beyond Measure Record,2021
March,26,"Rod Wave
","SoulFly
",Alamo Record,2021
March,26,"YBN Nahmir
","Visionland
",Atlanti,2021
March,26,"Young Dolph and Key Glock
","Dum and Dummer 2
",Paper Route Empir,2021
March,31,"Papoose
","March
",Honorable Record,2021
April,2,"Jasiah
","War
",Atlanti,2021
April,2,"Lil Tjay
","Destined 2 Win
",Columbi,2021
April,2,"Sa Vich
","Welcome To Planet Earth 2.0
",Stinkyfish Record,2021
